Amount,Ratio
805000,0.0805
403159.9,0.040316
388999.88,0.038900000000000004
367728.92,0.036773
257124.15,0.025712000000000002
255000,0.0255
250000,0.025
242585.6,0.024259
232906.71,0.023291
230000,0.023
200070.45,0.020007
200000,0.02
200000,0.02
200000,0.02
153641.66,0.015364
149459.02,0.014946
146290.6,0.014629000000000001
146212.86,0.014621
143950,0.014395
141810.94,0.014181
133216.21,0.013322
125000,0.0125
120653.11,0.012065
117807.42,0.011781
114655.36,0.011466
113665.88,0.011367
112000,0.011200000000000002
111448.72,0.011145
101570.57,0.010157000000000001
101569.3,0.010157000000000001
101359.07,0.010136000000000001
100400,0.01004
100329.52,0.010033
100000,0.01
84652.46,0.008465
83197.83,0.00832
82192.46,0.008218999999999999
81252.57,0.008125
66671.42,0.006666999999999999
61064.74,0.006106
59340.18,0.005934
56861.61,0.005686
53447.07,0.005345
53226.17,0.005323
50004.28,0.005
50000,0.005
50000,0.005
46561,0.004656
45189.28,0.0045190000000000004
45000.77,0.0045000000000000005
41409.31,0.004141000000000001
40080.82,0.004008
37500.34,0.00375
37100.78,0.0037099999999999998
33065.27,0.003307
31708.29,0.0031709999999999998
29420.47,0.002942
29163.35,0.002916
28321.14,0.002832
27037.81,0.002704
26638.87,0.002664
26219.22,0.0026219999999999998
25460.06,0.002546
25000,0.0025
25000,0.0025
24985.89,0.002499
23142.31,0.002314
22544.85,0.002254
22534.33,0.002253
21682.08,0.002168
21479.83,0.0021479999999999997
21152.07,0.002115
21000,0.0021
20901.9,0.00209
20214.84,0.0020210000000000002
20000.65,0.002
20000,0.002
19486.82,0.001949
18921.18,0.001892
18380.38,0.001838
17478.57,0.0017480000000000002
17302.01,0.0017299999999999998
17090.21,0.001709
16916.35,0.001692
16899.47,0.00169
16602.91,0.00166
16078.98,0.001608
15704.92,0.00157
15535.43,0.001554
15005.48,0.0015010000000000002
14389.17,0.001439
13873.52,0.001387
13273.18,0.001327
12743.98,0.0012740000000000002
12410.15,0.001241
12368.1,0.001237
12327.67,0.0012330000000000002
12249.8,0.001225
12231.94,0.0012230000000000001
12227.04,0.0012230000000000001
11914.33,0.001191
11859.11,0.001186
11709.58,0.001171
11380.15,0.001138
11278.45,0.0011279999999999999
11246.4,0.0011250000000000001
11114.87,0.001111
11045.34,0.001105
11000,0.0011
11000,0.0011
10838.51,0.001084
10706.52,0.001071
10701.41,0.00107
10698.13,0.00107
10509.91,0.001051
10486.73,0.001049
10339.04,0.001034
10257.72,0.001026
10249.43,0.0010249999999999999
10221.21,0.001022
10183.72,0.001018
10151,0.001015
10130.51,0.001013
10121.77,0.0010119999999999999
10102.28,0.00101
10100,0.00101
10075.97,0.001008
10069.82,0.001007
10036.84,0.0010040000000000001
10029.72,0.001003
10028.62,0.001003
10015.31,0.001002
10007.8,0.001001
10000,0.001
9679.69,0.000968
9500.09,0.00095
9352.19,0.000935
9090.16,0.000909
9070.15,0.000907
9000,0.0009
8957.93,0.000896
8858.97,0.000886
8493.17,0.000849
8412.17,0.000841
8004.51,0.0008
8000,0.0008
7978.78,0.000798
7835.37,0.000784
7693.81,0.0007689999999999999
7655.21,0.000766
7590.28,0.0007589999999999999
7238.4,0.000724
7023.8,0.0007019999999999999
6842.68,0.000684
6835.82,0.000684
6809.13,0.000681
6602.3,0.00066
6411.94,0.0006410000000000001
6098.37,0.00061
5959.26,0.000596
5918.55,0.0005920000000000001
5776.14,0.000578
5765.63,0.000577
5701.91,0.00057
5691.3,0.000569
5658.98,0.000566
5476.52,0.000548
5400,0.00054
5123.87,0.000512
5109.81,0.000511
5062.28,0.0005059999999999999
5022.66,0.0005020000000000001
4855.49,0.000486
4795.23,0.00048
4683.87,0.000468
4666.22,0.00046699999999999997
4642.91,0.00046399999999999995
4614.54,0.00046100000000000004
4577.63,0.000458
4503.19,0.00045
4475.65,0.000448
4143.46,0.000414
4108.36,0.00041099999999999996
4000,0.0004
3991.06,0.000399
3942.28,0.000394
3824.72,0.00038199999999999996
3798.61,0.00037999999999999997
3789.9,0.00037900000000000005
3785.78,0.00037900000000000005
3664.74,0.000366
3640.82,0.000364
3557.15,0.000356
3543.14,0.000354
3537.65,0.000354
3379.82,0.000338
3307.17,0.00033099999999999997
3288.34,0.000329
3200.93,0.00032
3193.7,0.000319
3096.89,0.00031
3049.52,0.000305
3000.25,0.0003
3000,0.0003
2954.95,0.00029499999999999996
2940.69,0.000294
2933.5,0.000293
2885.91,0.000289
2873.54,0.000287
2837.96,0.000284
2832.26,0.000283
2800.65,0.00028000000000000003
2722.78,0.000272
2708.14,0.000271
2672.43,0.00026700000000000004
2500.1,0.00025
2500,0.00025
2455.71,0.000246
2443.51,0.00024400000000000002
2340,0.000234
2284.56,0.000228
2275.02,0.000228
2258.66,0.000226
2229.47,0.000223
2190.95,0.00021899999999999998
2131.69,0.000213
2128.67,0.000213
2126.22,0.000213
2115.9,0.000212
2077.57,0.000208
2045.18,0.000205
2013.95,0.000201
2000,0.0002
2000,0.0002
1948.54,0.000195
1921.86,0.00019199999999999998
1887,0.000189
1874.02,0.00018700000000000002
1841.28,0.000184
1837.42,0.000184
1835.18,0.000184
1833.42,0.000183
1828.42,0.000183
1808.16,0.000181
1720.02,0.000172
1710.85,0.000171
1615.59,0.00016199999999999998
1605.64,0.000161
1591.63,0.00015900000000000002
1582.25,0.00015800000000000002
1580.09,0.00015800000000000002
1574.02,0.000157
1570.53,0.000157
1553.03,0.000155
1519.28,0.000152
1500,0.00015
1489.76,0.000149
1461.94,0.000146
1450.33,0.000145
1428.77,0.000143
1410.22,0.00014099999999999998
1392.96,0.000139
1352.51,0.000135
1351.51,0.000135
1350.82,0.000135
1329.28,0.00013299999999999998
1318.22,0.000132
1304.74,0.00013
1303.96,0.00013
1303.62,0.00013
1302.12,0.00013
1295.58,0.00013
1272,0.000127
1259.03,0.000126
1235.61,0.000124
1231.08,0.000123
1230.51,0.000123
1203.87,0.00012
1199.6,0.00012
1191.19,0.000119
1186.69,0.000119
1178.65,0.000118
1167.81,0.000117
1149.93,0.000115
1140.19,0.000114
1116.28,0.000112
1068.75,0.000107
1060.63,0.000106
1043.72,0.000104
1038.61,0.000104
1033.66,0.000103
1026.2,0.000103
1000.66,0.0001
1000.31,0.0001
1000,0.0001
997.51,0.0001
997.11,0.0001
991.18,0.00009900000000000001
938.36,0.00009400000000000001
907.23,0.000091
907.07,0.000091
856.46,0.000086
800,0.00008
800,0.00008
785.9,0.00007900000000000001
734.37,0.000073
714.32,0.000071
713.98,0.000071
713.13,0.000071
695.07,0.00007000000000000001
690.93,0.000069
689.46,0.000069
675.03,0.000068
674.99,0.000067
661.73,0.000066
660.13,0.000066
653.58,0.000065
650.04,0.000065
642.04,0.000064
641.43,0.000064
641.3,0.000064
626.76,0.000063
623.06,0.000062
617.2,0.000062
608.53,0.000061000000000000005
608.42,0.000061000000000000005
604.98,0.00006
604.41,0.00006
592.45,0.000059
591.65,0.000059
585.27,0.000059
583.51,0.000057999999999999994
560.79,0.000056
528.71,0.000053
503.19,0.00005
502.22,0.00005
485.62,0.000049
460.24,0.000046
458.76,0.000046
456.16,0.000046
443.87,0.000044000000000000006
427.63,0.000043
425.95,0.000043
407.61,0.000041
406.46,0.000041
405.36,0.000041
400.33,0.00004
399.69,0.00004
391.05,0.000039
391,0.000039
387.32,0.000039
385.5,0.000039
381.7,0.000038
379.45,0.000038
366.41,0.000037000000000000005
353.46,0.000035000000000000004
352.62,0.000035000000000000004
350.31,0.000035000000000000004
350,0.000035000000000000004
347.56,0.000035000000000000004
345.01,0.000035000000000000004
343.82,0.000034
343.54,0.000034
339.96,0.000034
332.06,0.000033
329.24,0.000033
328.49,0.000033
324.94,0.000032
324.47,0.000032
320.92,0.000032
319.26,0.000032
317.78,0.000032
316.24,0.000032
314.01,0.000031
304.72,0.00003
300,0.00003
300,0.00003
297.53,0.00003
289.7,0.000028999999999999997
287.06,0.000028999999999999997
280.59,0.000028
280.14,0.000028
279.38,0.000028
276.54,0.000028
275.3,0.000028
268.02,0.000027000000000000002
260.68,0.000026
252.61,0.000025
244.68,0.000023999999999999997
244.37,0.000023999999999999997
241.58,0.000023999999999999997
241.14,0.000023999999999999997
240.17,0.000023999999999999997
238.03,0.000023999999999999997
229.54,0.000023
228.89,0.000023
224.83,0.000022000000000000003
223.84,0.000022000000000000003
217.73,0.000022000000000000003
208.96,0.000021
205.93,0.000021
205.18,0.000021
201.5,0.00002
200.19,0.00002
200,0.00002
200,0.00002
200,0.00002
195.02,0.00002
193.36,0.000019
188.24,0.000019
184.27,0.000018
181.02,0.000018
171.87,0.000017
166.23,0.000017
159.21,0.000016
153.93,0.000015
147.46,0.000015
145.59,0.000015
141.02,0.000014
138.82,0.000014
134.95,0.000013
134.57,0.000013
134.43,0.000013
132.48,0.000013
132.16,0.000013
128.81,0.000013
127.83,0.000013
126.61,0.000013
116.19,0.000011999999999999999
115.52,0.000011999999999999999
114.7,0.000011000000000000001
110.63,0.000011000000000000001
110.41,0.000011000000000000001
110.32,0.000011000000000000001
109.56,0.000011000000000000001
109.2,0.000011000000000000001
106.42,0.000011000000000000001
105.61,0.000011000000000000001
104.18,0.00001
103.88,0.00001
103.07,0.00001
100.41,0.00001
100,0.00001
100,0.00001
100,0.00001
95.41,0.00001
95.06,0.00001
88.24,0.000009
87.91,0.000009
86.83,0.000009
85.96,0.000009
84.69,0.000008
83.28,0.000008
79.28,0.000008
72.89,0.000007
69.41,0.000007
68.39,0.000007
66.23,0.000007
64.03,0.000005999999999999999
63.25,0.000005999999999999999
62.75,0.000005999999999999999
61.15,0.000005999999999999999
59.42,0.000005999999999999999
59.25,0.000005999999999999999
58.76,0.000005999999999999999
56.6,0.000005999999999999999
54.96,0.000005
54,0.000005
52.84,0.000005
52.62,0.000005
51.54,0.000005
50.83,0.000005
49.62,0.000005
48.91,0.000005
47.13,0.000005
45.89,0.000005
45.79,0.000005
45.72,0.000005
40.81,0.000004
40.76,0.000004
40.53,0.000004
40.33,0.000004
39.7,0.000004
39.61,0.000004
38.35,0.000004
37.71,0.000004
35.95,0.000004
34.98,0.0000029999999999999997
33.5,0.0000029999999999999997
33.33,0.0000029999999999999997
29.29,0.0000029999999999999997
26.62,0.0000029999999999999997
26.51,0.0000029999999999999997
26.11,0.0000029999999999999997
25.77,0.0000029999999999999997
25.49,0.0000029999999999999997
25.1,0.0000029999999999999997
25,0.0000029999999999999997
23.36,0.000002
21.67,0.000002
21.57,0.000002
20.3,0.000002
15.85,0.000002
14.07,0.000001
13.4,0.000001
13.4,0.000001
13.38,0.000001
12.58,0.000001
11.84,0.000001
11.01,0.000001
10.84,0.000001
10.48,0.000001
9.85,0.000001
8.97,0.000001
8.71,0.000001
7.47,0.000001
7.46,0.000001
6.08,0.000001
5.28,0.000001
4.27,0
